id,product_tmpl_id/id,product_qty,code,active,type,company_id/id,previous_bom_id/id,product_uom_id/id,sequence
"__setup__.mrp_bom_3766","__setup__.product_template_1545","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2930","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3769","__setup__.product_template_1546","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2713","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3770","__setup__.product_template_1545","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2713","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3771","__setup__.product_template_1546","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3578","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3772","__setup__.product_template_1545","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3578","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3773","__setup__.product_template_1546","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3557","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3774","__setup__.product_template_1545","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3557","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3776","__setup__.product_template_964","5.0","","true","normal","base.main_company","__setup__.mrp_bom_3356","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3777","__setup__.product_template_942","2.0","","true","normal","base.main_company","__setup__.mrp_bom_2713","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3778","__setup__.product_template_1579","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2919","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3779","__setup__.product_template_1501","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3780","__setup__.product_template_1867","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3779","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3781","__setup__.product_template_1868","1.0","","true","normal","base.main_company","__setup__.mrp_bom_2327","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3782","__setup__.product_template_1868","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3455","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3783","__setup__.product_template_1868","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3688","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3784","__setup__.product_template_1868","1.0","","true","normal","base.main_company","__setup__.mrp_bom_1654","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3785","__setup__.product_template_1868","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3436","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3786","__setup__.product_template_1846","1.0","","true","normal","base.main_company","","product.product_uom_categ_unit","0"
"__setup__.mrp_bom_3787","__setup__.product_template_836","3.0","","true","normal","base.main_company","__setup__.mrp_bom_3786","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3788","__setup__.product_template_1870","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3716","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3789","__setup__.product_template_1869","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3716","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3790","__setup__.product_template_1045","6.0","","true","normal","base.main_company","__setup__.mrp_bom_2953","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3791","__setup__.product_template_1363","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3545","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3792","__setup__.product_template_1364","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3545","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3793","__setup__.product_template_1045","6.0","","true","normal","base.main_company","__setup__.mrp_bom_3545","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3794","__setup__.product_template_1045","6.0","","true","normal","base.main_company","__setup__.mrp_bom_3744","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3795","__setup__.product_template_1638","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3744","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3796","__setup__.product_template_1637","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3744","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3797","__setup__.product_template_1363","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3730","product.product_uom_categ_unit",""
"__setup__.mrp_bom_3798","__setup__.product_template_1364","1.0","","true","normal","base.main_company","__setup__.mrp_bom_3730","product.product_uom_categ_unit",""
