"id","company_id/id","fields_id/id","name","type","value_reference","res_id/id"
"sc.account_properties_ex2_303","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_303"
"sc.account_properties_ex1_304","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_304"
"sc.account_properties_ex2_304","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_304"
"sc.account_properties_ex1_305","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_305"
"sc.account_properties_ex2_305","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_305"
"sc.account_properties_ex1_306","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_306"
"sc.account_properties_ex2_306","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2287","__setup__.product_template_306"
"sc.account_properties_ex1_310","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_310"
"sc.account_properties_ex2_310","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_310"
"sc.account_properties_ex1_311","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_311"
"sc.account_properties_ex2_311","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_311"
"sc.account_properties_ex1_312","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_312"
"sc.account_properties_ex2_312","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_312"
"sc.account_properties_ex1_313","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_313"
"sc.account_properties_ex2_313","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_313"
"sc.account_properties_ex1_315","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_315"
"sc.account_properties_ex2_315","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_315"
"sc.account_properties_ex1_316","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_316"
"sc.account_properties_ex2_316","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_316"
"sc.account_properties_ex2_328","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_328"
"sc.account_properties_ex2_330","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_330"
"sc.account_properties_ex2_340","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_340"
"sc.account_properties_ex1_347","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_347"
"sc.account_properties_ex2_347","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_347"
"sc.account_properties_ex2_348","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_348"
"sc.account_properties_ex1_349","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_349"
"sc.account_properties_ex1_350","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_350"
"sc.account_properties_ex1_351","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_351"
"sc.account_properties_ex1_352","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_352"
"sc.account_properties_ex1_353","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_353"
"sc.account_properties_ex2_353","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_353"
"sc.account_properties_ex1_355","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1086","__setup__.product_template_355"
"sc.account_properties_ex2_355","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1910","__setup__.product_template_355"
"sc.account_properties_ex1_365","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_365"
"sc.account_properties_ex2_365","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_365"
"sc.account_properties_ex1_366","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_366"
"sc.account_properties_ex2_366","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_366"
"sc.account_properties_ex1_368","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_721","__setup__.product_template_368"
"sc.account_properties_ex2_368","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_2063","__setup__.product_template_368"
"sc.account_properties_ex1_371","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1534","__setup__.product_template_371"
"sc.account_properties_ex1_376","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_750","__setup__.product_template_376"
"sc.account_properties_ex2_376","__setup__.company_inc","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1963","__setup__.product_template_376"
"sc.account_properties_ex1_378","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1115","__setup__.product_template_378"
"sc.account_properties_ex1_379","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1478","__setup__.product_template_379"
"sc.account_properties_ex1_380","base.main_company","account.field_product_template_property_account_expense_id","property_account_expense_id","Many2One","__setup__.account_account_1565","__setup__.product_template_380"
