"id","name","product_id/id","warehouse_id/id","location_id/id","company_id/id","product_min_qty","product_max_qty","qty_multiple","lead_days"
"__setup__.stock_warehouse_orderpoint_1464","MCCBL00058A","__setup__.product_template_1464","stock.warehouse0","stock.stock_location_stock","base.main_company","480.0","481.0","1","1"
"__setup__.stock_warehouse_orderpoint_1436","60381","__setup__.product_template_1436","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_1056","MCMET00437C","__setup__.product_template_1056","stock.warehouse0","stock.stock_location_stock","base.main_company","12.0","13.0","1","1"
"__setup__.stock_warehouse_orderpoint_1526","MCLAB00534A","__setup__.product_template_1526","stock.warehouse0","stock.stock_location_stock","base.main_company","180.0","181.0","1","1"
"__setup__.stock_warehouse_orderpoint_558","60230","__setup__.product_template_558","stock.warehouse0","stock.stock_location_stock","base.main_company","30.0","31.0","1","1"
"__setup__.stock_warehouse_orderpoint_1054","MCFOM00006A","__setup__.product_template_1054","stock.warehouse0","stock.stock_location_stock","base.main_company","36.0","37.0","1","1"
"__setup__.stock_warehouse_orderpoint_1492","MCPKG00927A","__setup__.product_template_1492","stock.warehouse0","stock.stock_location_stock","base.main_company","500.0","501.0","1","1"
"__setup__.stock_warehouse_orderpoint_1503","80-CPICS02143A","__setup__.product_template_1503","stock.warehouse0","stock.stock_location_stock","base.main_company","200.0","201.0","1","1"
"__setup__.stock_warehouse_orderpoint_975","60355","__setup__.product_template_975","stock.warehouse0","stock.stock_location_stock","base.main_company","15.0","16.0","1","1"
"__setup__.stock_warehouse_orderpoint_1296","MCMET00618A","__setup__.product_template_1296","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_618","60253","__setup__.product_template_618","stock.warehouse0","stock.stock_location_stock","base.main_company","300.0","301.0","1","1"
"__setup__.stock_warehouse_orderpoint_716","EB1","__setup__.product_template_716","stock.warehouse0","stock.stock_location_stock","base.main_company","1.0","2.0","1","1"
"__setup__.stock_warehouse_orderpoint_1707","MCFAS00422A","__setup__.product_template_1707","stock.warehouse0","stock.stock_location_stock","base.main_company","2000.0","2001.0","1","1"
